PaperID,Title,Authors,Year,Venue
53e998a3b7602d97020ddb24,An initial study of overheads of eddies.,['Amol Deshpande'],2004,SIGMOD Record
53e9ab20b7602d97034a8f2b,Engineering Federated Information Systems: Report of EFIS '99 Workshop.,"['Stefan Conrad', 'Wilhelm Hasselbring', 'Uwe Hohenstein', 'Ralf-Detlef Kutsche', 'Mark Roantree', 'Gunter Saake', 'Fèlix Saltor']",1999,SIGMOD Record
53e9b275b7602d9703d174f6,Information Finding in a Digital Library: The Stanford Perspective.,"['Tak W. Yan', 'Hector Garcia-Molina']",1995,SIGMOD Record
53e9ad33b7602d9703713f2b,Editor's Notes.,['Jennifer Widom'],1995,SIGMOD Record
53e99800b7602d970200b618,Report on the 5th international workshop on the design and management of data warehouses (DMDW'03).,"['Hans-Joachim Lenz', 'Panos Vassiliadis', 'Manfred A. Jeusfeld', 'Martin Staudt']",2003,SIGMOD Record
53e99792b7602d9701f544b5,Editor's Notes.,['Ling Liu'],2002,SIGMOD Record
53e9979bb7602d9701f66943,Report from the NSF Workshop on Workflow and Process Automation in Information Systems.,"['Amit P. Sheth', 'Dimitrios Georgakopoulos', 'Stef Joosten', 'Marek Rusinkiewicz', 'Walt Scacchi', 'Jack C. Wileden', 'Alexander L. Wolf']",1996,SIGMOD Record
53e9a09fb7602d9702986055,TODS Perceptions and Misconceptions.,['Richard T. Snodgrass'],2002,SIGMOD Record
53e9bdb2b7602d9704a5d80b,SQL/MED - A Status Report.,"['Jim Melton', 'Jan-Eike Michels', 'Vanja Josifovski', 'Krishna G. Kulkarni', 'Peter M. Schwarz']",2002,SIGMOD Record
53e9b4d4b7602d9703ff2db2,2003 SIGMOD Innovations Award Speech.,['Donald D. Chamberlin'],2003,SIGMOD Record
53e9b1eab7602d9703c802dc,"Jeffrey D. Ullman Speaks Out on the Future of Higher Education, Startups, Database Theory, and More.",['Marianne Winslett'],2001,SIGMOD Record
53e9afc7b7602d9703a198fd,Research issues for data communication in mobile ad-hoc network database systems.,"['Leslie D. Fife', 'Le Gruenwald']",2003,SIGMOD Record
53e9b911b7602d97044f7a6e,Chair's Message.,['Richard T. Snodgrass'],1998,SIGMOD Record
53e99809b7602d970201f8e3,An approach to confidence based page ranking for user oriented Web search.,"['Debajyoti Mukhopadhyay', 'Debasis Giri', 'Sanasam Ranbir Singh']",2003,SIGMOD Record
53e99aa5b7602d970231c81b,A Comparison of Three User Interfaces to Relational Microcomputer Data Bases.,"['Carl Medsker', 'Margaret Christensen', 'Il-Yeol Song']",1995,SIGMOD Record
53e9bd1eb7602d97049a89a1,Object Query Standards.,['Andrew E. Wade'],1996,SIGMOD Record
53e9aebdb7602d97038e7f60,Constraints for Semi-structured Data and XML.,"['Peter Buneman', 'Wenfei Fan', 'Jérôme Siméon', 'Scott Weinstein']",2001,SIGMOD Record
53e99809b7602d9702020027,Database Principles Column - Introduction.,['Leonid Libkin'],1999,SIGMOD Record
53e99a26b7602d9702280826,Report on DART '96: Databases: Active and Real-Time (Concepts meet Practice).,"['Krithi Ramamritham', 'Nandit Soparkar']",1997,SIGMOD Record
53e9a042b7602d970292611c,A Multi-Agent System Infrastructure for Software Component Market-Place: An Ontological Perspective.,"['Riza Cenk Erdur', 'Oguz Dikenelli']",2002,SIGMOD Record
