id,title,authors,year,venue
5390972920f70186a0dfac5e,The next database revolution,['Jim Gray'],2004,SIGMOD '04 Proceedings of the 2004 ACM SIGMOD international conference on Management of data
5390972920f70186a0dfac51,The role of cryptography in database security,['Ueli Maurer'],2004,SIGMOD '04 Proceedings of the 2004 ACM SIGMOD international conference on Management of data
5390972920f70186a0dfac57,Tree logical classes for efficient evaluation of XQuery,"['Stelios Paparizos', 'Yuqing Wu', 'Laks V. S. Lakshmanan', 'H. V. Jagadish']",2004,SIGMOD '04 Proceedings of the 2004 ACM SIGMOD international conference on Management of data
5390972920f70186a0dfac8d,Adaptive stream resource management using Kalman Filters,"['Ankur Jain', 'Edward Y. Chang', 'Yuan-Fang Wang']",2004,SIGMOD '04 Proceedings of the 2004 ACM SIGMOD international conference on Management of data
5390972920f70186a0dfac88,Holistic UDAFs at streaming speeds,"['Graham Cormode', 'Theodore Johnson', 'Flip Korn', 'S. Muthukrishnan', 'Oliver Spatscheck', 'Divesh Srivastava']",2004,SIGMOD '04 Proceedings of the 2004 ACM SIGMOD international conference on Management of data
5390972920f70186a0dfac8a,Online event-driven subsequence matching over financial data streams,"['Huanmei Wu', 'Betty Salzberg', 'Donghui Zhang']",2004,SIGMOD '04 Proceedings of the 2004 ACM SIGMOD international conference on Management of data
5390972920f70186a0dfac89,Using the structure of Web sites for automatic segmentation of tables,"['Kristina Lerman', 'Lise Getoor', 'Steven Minton', 'Craig Knoblock']",2004,SIGMOD '04 Proceedings of the 2004 ACM SIGMOD international conference on Management of data
5390972920f70186a0dfac4d,FleXPath: flexible structure and full-text querying for XML,"['Sihem Amer-Yahia', 'Laks V. S. Lakshmanan', 'Shashank Pandit']",2004,SIGMOD '04 Proceedings of the 2004 ACM SIGMOD international conference on Management of data
5390972920f70186a0dfac4b,An interactive clustering-based approach to integrating source query interfaces on the deep Web,"['Wensheng Wu', 'Clement Yu', 'AnHai Doan', 'Weiyi Meng']",2004,SIGMOD '04 Proceedings of the 2004 ACM SIGMOD international conference on Management of data
5390972920f70186a0dfac49,Lazy query evaluation for Active XML,"['Serge Abiteboul', 'Omar Benjelloun', 'Bogdan Cautis', 'Ioana Manolescu', 'Tova Milo', 'Nicoleta Preda']",2004,SIGMOD '04 Proceedings of the 2004 ACM SIGMOD international conference on Management of data
5390972920f70186a0dfac48,Colorful XML: one hierarchy isn't enough,"['H. V. Jagadish', 'Laks V. S. Lakshmanan', 'Monica Scannapieco', 'Divesh Srivastava', 'Nuwee Wiwatwattana']",2004,SIGMOD '04 Proceedings of the 2004 ACM SIGMOD international conference on Management of data
5390972920f70186a0dfac45,Effective use of block-level sampling in statistics estimation,"['Surajit Chaudhuri', 'Gautam Das', 'Utkarsh Srivastava']",2004,SIGMOD '04 Proceedings of the 2004 ACM SIGMOD international conference on Management of data
5390972920f70186a0dfac44,The Priority R-tree: a practically efficient and worst-case optimal R-tree,"['Lars Arge', 'Mark de Berg', 'Herman J. Haverkort', 'Ke Yi']",2004,SIGMOD '04 Proceedings of the 2004 ACM SIGMOD international conference on Management of data
5390972920f70186a0dfaca4,Online maintenance of very large random samples,"['Christopher Jermaine', 'Abhijit Pol', 'Subramanian Arumugam']",2004,SIGMOD '04 Proceedings of the 2004 ACM SIGMOD international conference on Management of data
5390972920f70186a0dfaca0,Integrating vertical and horizontal partitioning into automated physical database design,"['Sanjay Agrawal', 'Vivek Narasayya', 'Beverly Yang']",2004,SIGMOD '04 Proceedings of the 2004 ACM SIGMOD international conference on Management of data
5390972920f70186a0dfaca5,Graph indexing: a frequent structure-based approach,"['Xifeng Yan', 'Philip S. Yu', 'Jiawei Han']",2004,SIGMOD '04 Proceedings of the 2004 ACM SIGMOD international conference on Management of data
5390879920f70186a0d42595,Conditional selectivity for statistics on query expressions,"['Nicolas Bruno', 'Surajit Chaudhuri']",2004,SIGMOD '04 Proceedings of the 2004 ACM SIGMOD international conference on Management of data
5390972920f70186a0dfaca1,Computing Clusters of Correlation Connected objects,"['Christian Böhm', 'Karin Kailing', 'Peer Kröger', 'Arthur Zimek']",2004,SIGMOD '04 Proceedings of the 2004 ACM SIGMOD international conference on Management of data
5390972920f70186a0dfacad,Transaction support for indexed summary views,"['Goetz Graefe', 'Michael Zwilling']",2004,SIGMOD '04 Proceedings of the 2004 ACM SIGMOD international conference on Management of data
